country,ratings,number_of_customers,years_of_experiance,number_of_reviews,type_of_consultant,first_name,last_name,lat,long
HSE,3.5,50,11,50,Lawyer,Josiah,CRUZ,-13.37136302,27.10849472
HSG,3.75,98,5,98,Education,Lillian,HUGHES,2.537179329,43.77965444
AUH,4,11,2,11,Doctor,Adrian,PRICE,-35.79326515,-10.3309455
ITA,3.5,73,7,73,Career,Natalie,MYERS,-13.90556427,2.439306193
PAP,3.5,43,1,43,Lawyer,Hannah,LONG,42.09138776,-35.4808164
SIC,5,84,16,84,Career,Aria,FOSTER,-22.81606965,-22.66133399
TUS,4,33,14,33,Education,Layla,SANDERS,-18.42572012,-3.507259974
RUS,3.25,36,2,36,Career,Colton,ROSS,-0.448196744,3.335261656
SWD,2.75,21,5,21,Education,Brooklyn,MORALES,-0.037524709,-30.57001717
DEN,3.75,53,10,53,Doctor,Jordan,POWELL,27.81276541,46.11141018
TUR,3.75,24,6,24,Career,Brayden,SULLIVAN,16.00133207,30.96689898
USA,4,25,5,25,Education,Nicholas,RUSSELL,44.4630717,14.85712839
UKG,3,71,3,71,Career,Robert,ORTIZ,-12.80123984,38.59998675
NTH,3.5,61,2,61,Doctor,Angel,JENKINS,33.57662701,-7.448872079
FRN,3,21,3,21,Career,Alexa,GUTIERREZ,27.27735156,-14.33497076
SWZ,2.5,85,0,85,Doctor,Hudson,PERRY,-27.0949545,2.441502068
SPN,2.75,61,5,61,Lawyer,Zoe,BUTLER,-7.095403791,-23.56745086
POR,3,82,0,82,Doctor,Lincoln,BARNES,-18.96517568,47.66584567
BAV,3.5,90,3,90,Lawyer,Penelope,FISHER,-41.93542785,-10.06695035
GMY,3.75,75,20,75,Lawyer,Evan,HENDERSON,10.94038332,18.82499052
BAD,3.5,85,5,85,Lawyer,Dominic,COLEMAN,-3.565416902,2.824142339
SAX,3.25,28,5,28,Doctor,Austin,SIMMONS,7.258996828,-4.67323265
WRT,3.25,75,0,75,Education,Gavin,PATTERSON,1.008217564,-0.634496035
HSE,3.5,58,7,58,Education,Nolan,JORDAN,-27.60915131,-0.481841633
HSG,3.75,7,5,7,Education,Riley,REYNOLDS,-8.743546065,17.35393811
AUH,3.5,33,0,33,Doctor,Leah,HAMILTON,7.328242185,-1.821515135
ITA,4,27,2,27,Career,Audrey,GRAHAM,-14.51023521,-21.40488011
PAP,4,96,7,96,Lawyer,Savannah,KIM,-6.770049437,27.71829961
SIC,3.75,65,6,65,Career,Parker,GONZALES,-11.86613968,39.47413336
TUS,3.25,66,11,66,Lawyer,Adam,ALEXANDER,12.84284784,-47.46823766
RUS,3.25,7,3,7,Career,Chase,RAMOS,9.679645241,3.598344431
SWD,3.5,99,18,99,Lawyer,Allison,WALLACE,-5.035529467,47.34831341
DEN,3.5,39,1,39,Education,Jace,GRIFFIN,0.787638247,8.595440026
TUR,3.75,29,0,29,Lawyer,Samantha,WEST,-26.82395586,1.396804998
USA,3.5,97,10,97,Lawyer,Nora,COLE,39.4050002,-7.060880208
UKG,3.75,46,4,46,Education,Ian,HAYES,21.42019587,-19.47547038
NTH,4,74,0,74,Lawyer,Skylar,CHAVEZ,-25.18953142,-22.18785447
FRN,2.75,86,0,86,Doctor,Camila,GIBSON,-4.701435849,-25.33463798
SWZ,3.25,46,6,46,Lawyer,Cooper,BRYANT,29.31441883,-32.52730815
SPN,3.5,56,1,56,Career,Easton,ELLIS,-14.56992661,5.787216567
POR,3.25,75,5,75,Lawyer,Kevin,STEVENS,37.85389363,10.03238544
BAV,3.75,79,1,79,Doctor,Jose,MURRAY,1.582409041,-20.01480692
GMY,4,26,1,26,Education,Tyler,FORD,4.648240252,-2.483154979
BAD,2.75,51,2,51,Lawyer,Anna,MARSHALL,-21.59874037,1.162586428
SAX,1.75,98,21,98,Career,Brandon,OWENS,7.885283989,23.6455725
WRT,3.75,43,1,43,Lawyer,Asher,MCDONALD,31.880336,-5.652893892
HSE,3.25,12,4,12,Lawyer,Paisley,HARRISON,-43.18737009,3.654701972
HSG,3.25,54,24,54,Doctor,Jaxson,RUIZ,-3.646866101,1.288283592
AUH,3.5,65,6,65,Career,Mateo,KENNEDY,-0.702503599,-2.94746788
ITA,2.5,80,24,80,Education,Jason,WELLS,-4.038658204,-23.07717267
PAP,2.75,30,1,30,Career,Ariana,ALVAREZ,-20.0904621,21.01650626
SIC,1.75,39,2,39,Career,Ayden,WOODS,-34.86158753,-15.27189746
TUS,3,39,4,39,Career,Ellie,MENDOZA,-0.988339687,16.21288188
RUS,3,43,2,43,Lawyer,Aaliyah,CASTILLO,15.20233857,2.820021687
SWD,3.25,51,6,51,Career,Zachary,OLSON,-7.750156464,36.51776364
DEN,3.75,32,6,32,Career,Claire,WEBB,42.4163638,19.93892749
TUR,2.75,40,15,40,Doctor,Violet,WASHINGTON,6.878237449,-4.166277002
USA,3.75,67,6,67,Career,Stella,TUCKER,24.54632455,-17.70337606
BRA,3.75,65,6,65,Career,Sadie,FREEMAN,-3.045277942,10.51026221
UKG,3.75,8,21,8,Lawyer,Carson,BURNS,11.87511955,-20.13383822
NTH,3.75,11,1,11,Lawyer,Mila,HENRY,-39.2841637,21.16398115
FRN,2.5,6,5,6,Education,Xavier,VASQUEZ,19.96322141,4.532968104
SWZ,3,17,2,17,Lawyer,Gabriella,SNYDER,-3.690859369,3.081135688
SPN,3.25,97,0,97,Career,Leo,SIMPSON,-11.76165033,-4.201642293
POR,3.5,54,4,54,Lawyer,Lucy,CRAWFORD,-20.51464335,-1.400464229
BAV,3,89,5,89,Doctor,Arianna,JIMENEZ,-35.5124891,3.225463816
GMY,2.5,83,5,83,Lawyer,Kennedy,PORTER,9.291696137,-5.515514757
BAD,2.5,47,6,47,Education,Sarah,MASON,-20.19152056,6.466057132
SAX,2.75,32,1,32,Doctor,Madelyn,SHAW,0.259965819,1.299165514
WRT,3.5,69,5,69,Education,Eleanor,GORDON,47.92157844,-26.52679924
HSE,3.5,80,15,80,Career,Kaylee,WAGNER,5.383757305,-8.414234337
HSG,4,22,6,22,Lawyer,Caroline,HUNTER,14.25663943,-46.22405889
AUH,3.25,50,5,50,Education,Ezra,ROMERO,11.71143795,46.87108139
ITA,3.5,0,5,0,Career,Bentley,HICKS,0.262345577,6.194844543
PAP,3.75,5,5,5,Doctor,Hazel,DIXON,-3.504605279,34.64921431
SIC,2.75,50,0,50,Doctor,Sawyer,HUNT,-27.23452291,0.840337951
TUS,3.5,22,3,22,Doctor,Hailey,PALMER,17.98118399,-27.93722596
RUS,3.75,93,7,93,Education,Kayden,ROBERTSON,24.21809473,4.897698918
SWD,3.25,75,1,75,Doctor,Blake,BLACK,16.11966683,-37.20472455
DEN,3,49,12,49,Education,Nathaniel,HOLMES,-5.691998876,9.631989496
TUR,3.25,72,1,72,Education,Genesis,STONE,-9.505211375,-17.09102095
USA,2.75,97,5,97,Doctor,Kylie,MEYER,17.61162234,-3.430527115
BRA,2.75,21,6,21,Lawyer,Ryder,BOYD,28.35427133,3.966469187
UKG,2.75,66,1,66,Lawyer,Theodore,MILLS,-7.821432233,4.616219328
NTH,2.75,75,4,75,Lawyer,Autumn,WARREN,-38.16208254,-7.877003307
FRN,2.75,35,21,35,Education,Piper,FOX,37.54080632,31.79375563
SWZ,2.75,78,7,78,Lawyer,Maya,ROSE,1.372372728,10.67284836
SPN,2.75,20,0,20,Education,Elias,RICE,15.20485631,-1.279661324
POR,3.5,16,1,16,Education,Nevaeh,MORENO,0.896726297,-17.91044183
BAV,3.5,42,6,42,Career,Serenity,SCHMIDT,9.129805068,11.17659877
GMY,3.25,67,6,67,Education,Peyton,PATEL,-16.04985423,-6.310712121
BAD,3.5,38,20,38,Career,Tristan,FERGUSON,9.225851394,-48.26729057
SAX,2.75,89,2,89,Lawyer,Roman,NICHOLS,-15.10405526,2.746415284
WRT,3,81,7,81,Career,Mackenzie,HERRERA,-45.77633685,0
HSE,3.5,5,2,5,Education,Leonardo,MEDINA,2.817214165,15.85357087
HSG,3.5,19,13,19,Doctor,Bella,RYAN,6.081373693,38.62311501
AUH,3.5,71,5,71,Doctor,Camden,FERNANDEZ,-21.34608374,48.19816122
ITA,3.5,0,5,0,Career,Eva,WEAVER,15.40470469,16.21209088
PAP,4,25,10,25,Doctor,Taylor,DANIELS,6.7221762,40.72938822
SIC,4,88,1,88,Lawyer,Naomi,STEPHENS,12.46939082,16.54314926
TUS,3.75,0,25,0,Education,Brody,GARDNER,-44.83833059,-10.30060397
RUS,2.75,70,6,70,Education,Luis,PAYNE,-19.9788103,4.109405461
SWD,3,23,1,23,Career,Miles,KELLEY,11.00234603,17.20788695
DEN,3,94,1,94,Career,Micah,DUNN,-15.10965047,12.49326939
TUR,3.5,12,1,12,Career,Vincent,PIERCE,-14.4925949,40.43822908
USA,4,13,0,13,Education,Justin,ARNOLD,11.53879888,-9.699708682
BRA,3.25,1,6,1,Doctor,Aubree,TRAN,17.60523924,-15.01716112
UKG,3.25,54,6,54,Education,Aurora,SPENCER,15.42932035,-5.843567839
NTH,3.5,5,6,5,Career,Greyson,PETERS,25.99495636,-0.520291592
FRN,3.5,86,6,86,Career,Declan,HAWKINS,5.495472654,26.03935818
SWZ,2.5,88,11,88,Career,Maxwell,GRANT,5.472035178,-39.10694655
SPN,2.5,87,25,87,Education,Juan,HANSEN,-24.31991355,-16.08064464
POR,2.5,88,5,88,Lawyer,Melanie,CASTRO,-34.76656694,2.657419555
BAV,3.25,20,6,20,Career,Cole,HOFFMAN,29.34420554,28.43443506
GMY,3.5,36,5,36,Career,Lydia,HART,4.787168486,-11.56875214
BAD,3.25,23,6,23,Doctor,Damian,ELLIOTT,-25.93405387,-3.374707297
SAX,3.75,75,6,75,Education,Brianna,CUNNINGHAM,10.09051148,22.95350929
WRT,2.75,37,6,37,Lawyer,Ruby,KNIGHT,37.57412321,-3.995332503
HSE,3,65,0,65,Lawyer,Katherine,BRADLEY,15.84100409,-12.12601679
HSG,3,24,6,24,Career,Ashley,CARROLL,43.92888625,28.76465742
AUH,3,36,0,36,Doctor,Carlos,HUDSON,-31.99571284,14.5562849
ITA,3.5,15,5,15,Education,Max,DUNCAN,-15.95688618,-15.2287437
PAP,3.25,66,3,66,Career,Alexis,ARMSTRONG,-34.95574047,3.462647245
SIC,3.5,64,1,64,Career,Alice,BERRY,-43.35114016,3.53214988
TUS,3,57,1,57,Education,Cora,ANDREWS,-20.53409274,-19.78209308
RUS,3.5,31,1,31,Education,Julia,JOHNSTON,27.56487739,-28.60602195
SWD,3.75,46,2,46,Lawyer,Harrison,RAY,-14.57511589,14.88713838
DEN,3,8,23,8,Doctor,Madeline,LANE,-18.22680476,-5.329312448
TUR,2.75,15,2,15,Career,Weston,RILEY,8.542200907,10.44835064
USA,2.75,9,7,9,Education,Faith,CARPENTER,21.44574174,0.400547069
BRA,3,86,20,86,Career,Brantley,PERKINS,9.14706522,-35.08078424
UKG,2.75,52,1,52,Doctor,Braxton,AGUILAR,-5.217715162,-35.99964338
NTH,3.5,13,19,13,Career,Annabelle,SILVA,-4.59941403,-3.887800127
FRN,2.75,99,6,99,Lawyer,Alyssa,RICHARDS,-17.11982164,-1.405977329
SWZ,3.5,9,12,9,Education,Axel,WILLIS,-3.166455356,-31.34849578
SPN,2.75,86,1,86,Lawyer,Diego,MATTHEWS,43.82459405,-23.71549098
POR,3.5,91,3,91,Career,Abel,CHAPMAN,-19.57978803,-9.639997209
BAV,3,17,4,17,Doctor,Wesley,LAWRENCE,-14.4213693,0.759773263
GMY,3.5,43,5,43,Education,Santiago,GARZA,-31.89787592,-27.90618072
BAD,3.75,48,3,48,Education,Isabelle,VARGAS,-16.78281912,10.26676632
SAX,3.5,24,2,24,Lawyer,Vivian,WATKINS,-46.53786547,-2.125670861
WRT,4,45,5,45,Lawyer,Jesus,WHEELER,10.77616569,-3.882883569
HSE,3.25,54,0,54,Doctor,Gianna,LARSON,16.91365731,22.5000873
HSG,3.75,22,5,22,Career,Silas,CARLSON,22.08345718,-7.092900111
AUH,3.5,67,5,67,Doctor,Giovanni,HARPER,-16.35249432,37.91098554
ITA,3.25,97,4,97,Career,Bryce,GEORGE,32.35631486,-0.772120262
PAP,3.5,8,5,8,Lawyer,Jayce,GREENE,-29.52513298,-15.21886058
SIC,3.5,56,11,56,Doctor,Bryson,BURKE,0.406053816,-45.56481208
TUS,3.5,5,24,5,Career,Alex,GUZMAN,-35.68772587,14.12664953
RUS,3.75,25,5,25,Lawyer,Quinn,MORRISON,8.959016733,-10.45237813
SWD,4,72,0,72,Doctor,Clara,MUNOZ,21.25201701,4.42020088
DEN,4,35,4,35,Education,Reagan,JACOBS,37.49809239,12.35193432
TUN,3.5,33,13,33,Doctor,Everett,OBRIEN,7.611513565,37.39284883
TUR,3.25,28,2,28,Career,George,LAWSON,1.514516302,-39.20530211
USA,3,31,6,31,Career,Eric,FRANKLIN,-46.50169,-26.70428898
BRA,2.75,0,6,0,Education,Ivan,LYNCH,47.01743274,-15.92653856
UKG,3,41,7,41,Education,Emmett,BISHOP,-5.991157292,-2.980154277
NTH,3,15,16,15,Doctor,Kaiden,CARR,49.85831578,2.482322571
FRN,4,55,2,55,Lawyer,Ashton,SALAZAR,-1.65555868,-22.85302498
SWZ,2.5,20,10,20,Doctor,Khloe,AUSTIN,-4.055620721,27.33598417
SPN,3.75,90,2,90,Doctor,Alexandra,MENDEZ,5.513418271,12.14969504
POR,4,28,7,28,Education,Hadley,GILBERT,21.52585618,-2.162733624
BAV,4,51,4,51,Education,Eliana,JENSEN,6.61088681,-48.10337345
GMY,4,13,3,13,Career,Kingston,WILLIAMSON,-0.540416872,29.30106938
BAD,1.5,69,6,69,Career,Sophie,MONTGOMERY,23.60513376,1.355438209
SAX,3,93,2,93,Doctor,London,HARVEY,2.157158284,17.29528762
WRT,4,83,6,83,Career,Jonah,OLIVER,-21.29209949,11.96076398
HSE,3.25,73,20,73,Doctor,Elena,HOWELL,14.05911298,27.49474395
HSG,1.5,30,16,30,Career,Jameson,DEAN,47.13619981,5.333565333
AUH,2.75,58,4,58,Education,Kimberly,HANSON,18.82227844,1.078043168
ITA,2.75,45,1,45,Doctor,Kai,WEBER,-14.60342809,-28.78076489
PAP,3.5,69,0,69,Doctor,Bailey,GARRETT,15.9897535,14.86369482
SIC,3.75,22,1,22,Doctor,Maria,SIMS,9.375217392,-42.99867349
TUS,3.75,17,21,17,Career,Luna,BURTON,8.128916921,4.746700025
RUS,3.75,31,5,31,Lawyer,Willow,FULLER,-28.07345681,-31.55051667
SWD,4,85,2,85,Career,Jasmine,SOTO,-11.38234733,26.63011694
DEN,3,32,1,32,Education,Maddox,MCCOY,-28.36212868,-0.210805064
TUN,3.25,17,1,17,Lawyer,Timothy,WELCH,-18.89290722,6.949730501
TUR,3.5,100,3,100,Lawyer,Kinsley,CHEN,-25.15628265,4.671290613
USA,3.5,61,2,61,Career,Ezekiel,SCHULTZ,10.60194938,34.89122462
BRA,3,95,6,95,Career,Valentina,WALTERS,-6.174053738,33.69745038
UKG,3.25,20,1,20,Doctor,Ryker,REID,11.75002319,10.93808786
NTH,3.5,75,8,75,Doctor,Emmanuel,FIELDS,-2.150779239,47.98781426
FRN,2.75,99,3,99,Lawyer,Kayla,WALSH,-6.88020963,26.11577819
SWZ,3.25,19,8,19,Career,Hayden,LITTLE,4.073540054,47.50765309
SPN,3.25,69,4,69,Career,Antonio,FOWLER,-49.06108122,-3.730488937
POR,3,74,5,74,Career,Delilah,BOWMAN,-11.70201798,0
BAV,3,41,9,41,Doctor,Andrea,DAVIDSON,-10.42879502,10.52418835
GMY,3.5,92,10,92,Education,Bennett,MAY,17.7765179,41.08404944
BAD,3.5,19,25,19,Lawyer,Steven,DAY,21.1583054,-5.604902331
SAX,2.75,33,3,33,Doctor,Natalia,SCHNEIDER,38.83138618,21.90054825
WRT,3.25,5,4,5,Doctor,Lauren,NEWMAN,-9.814963398,3.235856102
HSE,2.75,78,16,78,Education,Morgan,BREWER,13.35414753,14.02499414
HSG,3.25,48,1,48,Career,Rylee,LUCAS,-44.34951096,-1.004875938
AUH,3.5,72,0,72,Career,Richard,HOLLAND,-3.502713137,-2.129870865
ITA,3.25,41,5,41,Lawyer,Sydney,WONG,-41.32783164,20.78459883
PAP,3.25,82,2,82,Doctor,Jude,BANKS,-18.63075009,-5.785265311
SIC,2.5,63,1,63,Career,Adalynn,SANTOS,-23.46334987,17.4491199
TUS,2.5,98,12,98,Lawyer,Mary,CURTIS,8.735585581,-8.246628521
RUS,2.5,76,10,76,Doctor,Luca,PEARSON,-11.17611343,31.82750735
SWD,2.5,4,2,4,Doctor,Ximena,DELGADO,0.224384928,-31.9695051
DEN,2.75,7,0,7,Lawyer,Edward,VALDEZ,35.15364373,13.30281753
TUN,2.25,14,23,14,Lawyer,Joel,PENA,37.01915139,-34.26117555
TUR,3.5,65,3,65,Career,Victor,RIOS,-45.31015891,-9.81344222
USA,3,0,6,0,Doctor,Miguel,DOUGLAS,3.635775255,-25.80239567
BRA,2,53,0,53,Education,Jade,SANDOVAL,-25.95724278,30.93116755
UKG,2,92,6,92,Education,Liliana,BARRETT,2.981099857,-0.469436682
NTH,3,100,3,100,Career,Malachi,HOPKINS,-48.64665231,3.9895357
FRN,3.5,41,5,41,Doctor,King,KELLER,28.52772956,-2.026023984
SWZ,3.25,36,5,36,Career,Patrick,GUERRERO,28.58353698,-19.35943533
SPN,2.5,33,2,33,Doctor,Brielle,STANLEY,-2.982767993,-30.55262518
POR,3.25,64,6,64,Doctor,Kaleb,BATES,-26.88560497,7.375566003
BAV,3.5,18,1,18,Education,Ivy,ALVARADO,7.526587819,-21.62912936
GMY,3.75,46,1,46,Lawyer,Trinity,BECK,42.10214578,-45.58349419
BAD,3.25,48,0,48,Education,Bryan,ORTEGA,3.58020196,4.627781942
SAX,3.75,25,5,25,Lawyer,Josephine,WADE,-23.06207889,-6.543986888
WRT,3.75,57,1,57,Education,Alan,ESTRADA,27.70348312,21.75089902
HSE,3.75,20,3,20,Career,Adalyn,CONTRERAS,6.512721312,8.469778752
HSG,3.5,73,3,73,Career,Jocelyn,BARNETT,15.60919225,-31.52966555
AUH,3.5,26,5,26,Education,Marcus,CALDWELL,35.11926295,-9.818902911
ITA,2.75,20,19,20,Doctor,Preston,SANTIAGO,-43.06995538,-34.20463004
PAP,3.25,54,6,54,Career,Abraham,LAMBERT,-24.31832767,-1.436166975
SIC,3.5,42,4,42,Lawyer,Calvin,POWERS,37.22421705,49.57855965
TUS,3.75,86,5,86,Education,Colin,CHAMBERS,8.806025063,-16.90419041
GRC,3,55,6,55,Education,Emery,NUNEZ,3.225691434,-48.55334009
RUS,3.75,79,6,79,Doctor,Adeline,CRAIG,-9.778977338,-20.22739072
SWD,3.25,26,4,26,Doctor,Bradley,LEONARD,-22.84216935,-27.06831925
DEN,3.5,49,7,49,Lawyer,Jeremy,LOWE,3.21593701,29.8030826
TUN,3.5,86,6,86,Career,Kyle,RHODES,14.92170406,-6.08666488
TUR,3.75,57,15,57,Doctor,Graham,BYRD,23.72581019,5.136953355
USA,4,8,8,8,Education,Jordyn,GREGORY,-3.723739071,36.42244599
BRA,3.25,29,0,29,Education,Grant,SHELTON,24.38779479,-23.62999062
UKG,3.5,34,6,34,Doctor,Ariel,FRAZIER,-35.25414151,32.684222
NTH,3.5,100,6,100,Doctor,Jesse,BECKER,0.447856444,-43.80789591
FRN,4,86,7,86,Career,Kaden,MALDONADO,-4.126977069,18.19639547
SWZ,4,58,6,58,Career,Everly,FLEMING,6.555932392,7.880725603
SPN,3,23,3,23,Career,Alejandro,VEGA,20.48457969,-1.752157573
POR,3.25,70,6,70,Doctor,Lilly,SUTTON,9.810320928,-45.13747751
BAV,3.5,99,6,99,Education,Oscar,COHEN,6.141920209,13.4110537
GMY,3.25,14,5,14,Lawyer,Paige,JENNINGS,35.82256253,-1.503527625
BAD,3.5,61,6,61,Career,Jase,PARKS,8.971020816,-0.929696511
SAX,3.5,77,3,77,Lawyer,Karter,MCDANIEL,-24.40573284,5.902508999
WRT,2.5,0,4,0,Doctor,Isla,WATTS,33.05100456,-27.29861432
HSE,1.5,52,1,52,Lawyer,Lyla,BARKER,33.12346261,-7.015294922
HSG,2.75,71,6,71,Career,Maverick,NORRIS,-3.385979951,6.610142976
AUH,1,18,9,18,Lawyer,Aidan,VAUGHN,24.29445726,-3.804877326
ITA,2.5,64,0,64,Lawyer,Makayla,VAZQUEZ,17.69397171,-5.51808996
PAP,3,14,6,14,Education,Molly,HOLT,-22.04406574,0.602353711
SIC,3.5,40,3,40,Lawyer,Tucker,SCHWARTZ,-17.12083748,-17.34567365
TUS,3.5,12,21,12,Education,Emilia,STEELE,35.19538926,4.16190287
GRC,3,4,1,4,Education,Avery,BENSON,-26.2584488,-38.09072671
RUS,2.25,52,20,52,Doctor,Amir,NEAL,41.98968509,-2.844005317
SWD,2.5,74,5,74,Doctor,Brian,DOMINGUEZ,-34.75666046,34.94594603
DEN,2.5,77,2,77,Doctor,Mya,HORTON,7.681806806,-8.248389962
TUN,2.75,12,2,12,Lawyer,Kendall,TERRY,-0.823139489,1.039812163
